,被试数量,样本序号,实验序号,实验处理,误差,p值
0,2,2,Exp2,"(0, 800)",垂直误差,0.6771710655658096
0,2,2,Exp2,"(45, 400)",垂直误差,0.7168809116912285
0,2,2,Exp2,"(45, 800)",垂直误差,0.019965836363288608
0,2,2,Exp2,"(90, 400)",垂直误差,0.8758157406186766
0,2,2,Exp2,"(90, 800)",垂直误差,0.44556563940235533
0,2,2,Exp2,"(135, 400)",垂直误差,0.4797058378014835
0,2,2,Exp2,"(135, 800)",垂直误差,0.38777749462122646
0,2,2,Exp2,"(180, 400)",垂直误差,0.07916684832113136
0,2,2,Exp2,"(180, 800)",垂直误差,0.7951672353008712
0,2,2,Exp2,"(225, 400)",垂直误差,0.17892279297692623
0,2,2,Exp2,"(225, 800)",垂直误差,0.18152062055000484
0,2,2,Exp2,"(270, 400)",垂直误差,0.2899491573043055
0,2,2,Exp2,"(270, 800)",垂直误差,0.18338179313060743
0,2,2,Exp2,"(315, 400)",垂直误差,0.18899306043799885
0,2,2,Exp2,"(315, 800)",垂直误差,0.35918352619311306
0,2,2,Exp2,"('斜向上', 400)",水平误差,0.6697670195220125
0,2,2,Exp2,"('斜向上', 800)",水平误差,0.8817707382465149
0,2,2,Exp2,"('斜向下', 400)",水平误差,0.344067048414905
0,2,2,Exp2,"('斜向下', 800)",水平误差,0.9778088298847856
0,2,2,Exp2,"('水平', 400)",水平误差,0.7814811358797034
0,2,2,Exp2,"('水平', 800)",水平误差,0.596745130693001
0,2,2,Exp2,"('竖直', 400)",水平误差,0.7306151529113935
0,2,2,Exp2,"('竖直', 800)",水平误差,0.27358781116486386
0,2,2,Exp2,"('斜向上', 400)",垂直误差,0.28782542859807353
0,2,2,Exp2,"('斜向上', 800)",垂直误差,0.1393701449780426
0,2,2,Exp2,"('斜向下', 400)",垂直误差,0.015859697919968482
0,2,2,Exp2,"('斜向下', 800)",垂直误差,0.035147629354935477
0,2,2,Exp2,"('水平', 400)",垂直误差,0.1063280286185312
0,2,2,Exp2,"('水平', 800)",垂直误差,0.5074183806690536
0,2,2,Exp2,"('竖直', 400)",垂直误差,0.9999999999999953
0,2,2,Exp2,"('竖直', 800)",垂直误差,0.8089161179334586
0,2,2,Exp3,gravity,xIfNoGravityPredictError,0.28356143195659217
0,2,2,Exp3,horizontalMove,xIfNoGravityPredictError,0.19042902839698667
0,2,2,Exp3,noGravity,xIfNoGravityPredictError,0.1735989012010717
0,2,2,Exp3,gravity,yIfNoGravityPredictError,0.11610576501438327
0,2,2,Exp3,horizontalMove,yIfNoGravityPredictError,0.7953070491639913
0,2,2,Exp3,noGravity,yIfNoGravityPredictError,0.5465195013612838
0,2,2,Exp3,gravity,xIfGravityPredictError,0.05374114440262636
0,2,2,Exp3,horizontalMove,xIfGravityPredictError,0.19042902839698667
0,2,2,Exp3,noGravity,xIfGravityPredictError,0.3173779460866469
0,2,2,Exp3,gravity,yIfGravityPredictError,0.3876503791586169
0,2,2,Exp3,horizontalMove,yIfGravityPredictError,0.7953070491639913
0,2,2,Exp3,noGravity,yIfGravityPredictError,0.040811748557800294
0,2,3,Exp1,horizontal,Nothing,0.5034446716308594
0,2,3,Exp1,vertical,Nothing,0.8238029479980469
0,2,3,Exp2,"(0, 400)",水平误差,0.29201567801466277
0,2,3,Exp2,"(0, 800)",水平误差,0.3148792448432821
0,2,3,Exp2,"(45, 400)",水平误差,0.09905474396831032
0,2,3,Exp2,"(45, 800)",水平误差,0.9255861741228285
0,2,3,Exp2,"(90, 400)",水平误差,0.2878500888834925
0,2,3,Exp2,"(90, 800)",水平误差,0.7258126314407006
0,2,3,Exp2,"(135, 400)",水平误差,0.491670870778995
